[2025-09-23 00:00:58] WARMFILE guardado en cache - Archivos: ['Patito.txt', 'Hola.txt', 'Ipsum.txt', 'Ejemplo.txt'], TTL: 300s
[2025-09-23 00:01:03] WARMFILE cargado desde cache - Archivos: ['Ejemplo.txt', 'Hola.txt', 'Ipsum.txt', 'Patito.txt'], TTL: 300s
[2025-09-23 00:25:24] WARMFILE guardado en cache - Archivos: ['Ejemplo.txt', 'Patito.txt', 'Ipsum.txt', 'Hola.txt'], TTL: 300s
[2025-09-23 00:26:01] WARMFILE cargado desde cache - Archivos: ['Patito.txt', 'Ipsum.txt', 'Hola.txt', 'Ejemplo.txt'], TTL: 300s
[2025-09-23 00:29:57] WARMFILE guardado en cache - Archivos: ['Ejemplo.txt', 'Patito.txt', 'Ipsum.txt', 'Hola.txt'], TTL: 300s
[2025-09-23 00:30:02] WARMFILE cargado desde cache - Archivos: ['Patito.txt', 'Hola.txt', 'Ejemplo.txt', 'Ipsum.txt'], TTL: 300s
[2025-09-23 00:31:32] WARMFILE guardado en cache - Archivos: ['Ejemplo.txt', 'Patito.txt', 'Hola.txt', 'Ipsum.txt'], TTL: 300s
[2025-09-23 00:32:12] WARMFILE cargado desde cache - Archivos: ['Patito.txt', 'Ejemplo.txt', 'Hola.txt', 'Ipsum.txt'], TTL: 300s
[2025-09-23 00:32:21] WARMFILE guardado en cache - Archivos: ['Patito.txt', 'Ejemplo.txt', 'Hola.txt', 'Ipsum.txt'], TTL: 300s
[2025-09-23 00:33:23] WARMFILE cargado desde cache - Archivos: ['Ejemplo.txt', 'Patito.txt', 'Ipsum.txt', 'Hola.txt'], TTL: 300s
[2025-09-23 00:33:25] WARMFILE guardado en cache - Archivos: ['Ejemplo.txt', 'Patito.txt', 'Ipsum.txt', 'Hola.txt'], TTL: 300s
[2025-09-23 00:34:14] WARMFILE cargado desde cache - Archivos: ['Patito.txt', 'Ejemplo.txt', 'Hola.txt', 'Ipsum.txt'], TTL: 300s
[2025-09-23 00:36:05] WARMFILE guardado en cache - Archivos: ['Patito.txt', 'Ipsum.txt', 'Ejemplo.txt', 'Hola.txt'], TTL: 300s
